Strike,CallBid,CallAsk,PutBid,PutAsk
1750,509.10,521.60,0.95,1.45
1760,499.20,511.70,1.00,1.50
1770,489.20,501.80,1.05,1.55
1780,479.30,491.90,1.10,1.65
1790,469.40,482.00,1.20,1.70
1800,459.50,472.30,1.25,1.75
1810,449.30,462.40,1.30,1.80
1820,439.70,452.20,1.40,1.90
1830,429.80,442.30,1.45,1.95
1840,419.90,432.40,1.50,2.05
1850,410.10,422.60,1.60,2.10
1860,400.20,412.70,1.65,2.20
1870,390.30,402.80,1.75,2.30
1880,380.50,392.90,1.85,2.35
1890,370.60,383.10,1.90,2.40
1900,360.80,373.20,2.00,2.50
1910,350.90,363.40,2.10,2.60
1920,341.10,353.50,2.20,2.70
1930,331.00,343.70,2.35,2.85
1940,321.20,333.80,2.45,2.95
1950,311.40,324.00,2.60,3.10
1960,301.90,314.20,2.80,3.30
1970,292.20,304.40,2.95,3.50
1975,287.00,299.60,3.10,3.60
1980,282.40,294.70,3.20,3.70
1985,277.30,289.80,3.30,3.80
1990,272.70,284.90,3.40,4.00
1995,267.90,280.10,3.50,4.10
2000,264.30,273.70,3.70,4.30
2005,258.20,270.40,3.80,4.40
2010,256.30,265.50,3.90,4.60
2015,251.50,260.70,4.20,4.70
2020,246.70,255.90,4.40,4.90
2025,241.90,250.30,4.60,5.10
2030,237.20,246.30,4.80,5.30
2035,232.40,241.50,5.00,5.60
2040,227.70,235.80,5.30,5.80
2045,223.00,232.00,5.60,6.10
2050,218.30,225.60,5.70,6.40
2055,213.60,222.50,6.10,6.60
2060,208.90,217.80,6.40,7.00
2065,204.30,213.20,6.70,7.30
2070,199.70,208.50,7.10,7.70
2075,194.90,203.00,7.50,8.00
2080,190.50,198.50,7.90,8.40
2085,186.00,193.90,8.30,8.90
2090,181.40,188.70,8.70,9.30
2095,177.00,185.00,9.20,9.80
2100,172.50,179.60,9.70,10.30
2105,168.10,176.10,10.30,10.80
2110,163.70,171.70,10.80,11.50
2115,159.30,167.40,11.40,12.20
2120,155.00,162.00,12.10,12.70
2125,150.70,158.80,12.70,13.40
2130,146.50,154.50,13.40,14.30
2135,142.20,150.30,14.20,14.90
2140,138.10,146.30,15.00,15.70
2145,134.00,141.90,15.80,16.70
2150,130.80,134.10,16.70,17.50
2155,126.50,129.50,17.70,18.40
2160,122.50,125.50,18.60,19.40
2165,118.60,122.00,19.70,20.50
2170,114.70,117.50,20.70,21.50
2175,110.90,113.70,21.90,22.70
2180,107.10,109.90,23.00,23.80
2185,103.40,106.00,24.20,25.10
2190,99.70,102.30,25.50,26.40
2195,96.10,98.60,26.80,27.70
2200,92.60,94.90,28.20,29.10
2205,88.90,91.30,29.70,30.50
2210,85.60,87.90,31.20,32.00
2215,82.20,84.40,32.70,33.60
2220,78.90,81.00,34.30,35.20
2225,75.60,77.60,36.00,36.90
2230,72.40,74.30,37.70,38.60
2235,69.30,71.10,39.40,40.50
2240,66.20,67.90,41.40,42.30
2245,63.30,64.80,43.20,44.30
2250,60.30,61.70,45.20,46.30
2255,57.50,58.80,47.30,48.30
2260,54.70,55.90,49.40,50.50
2265,52.00,53.10,51.70,52.60
2270,49.30,50.30,53.90,54.90
2275,46.70,47.70,56.20,57.30
2280,44.30,45.10,58.60,59.80
2285,41.90,42.70,61.10,62.50
2290,39.50,40.30,63.60,65.10
2295,37.20,38.00,66.30,67.90
2300,35.00,35.80,69.00,70.70
2305,32.80,33.60,71.80,73.60
2310,30.80,31.60,74.70,76.60
2315,28.80,29.60,77.60,79.70
2320,27.00,27.70,80.70,82.90
2325,25.20,26.00,83.80,86.10
2330,23.50,24.30,87.10,89.50
2335,21.90,22.60,90.50,92.90
2340,20.40,21.10,93.90,96.40
2345,18.90,19.70,97.40,100.00
2350,17.60,18.30,100.90,103.60
2355,16.30,17.10,104.60,107.50
2360,15.10,15.80,108.40,111.10
2365,14.00,14.70,112.10,115.20
2370,12.90,13.60,116.00,119.00
2375,11.90,12.70,119.10,126.70
2380,11.00,11.70,123.50,129.00
2385,10.20,10.80,127.10,134.80
2390,9.30,10.00,131.70,137.20
2395,8.60,9.20,135.40,141.40
2400,7.90,8.50,140.10,145.70
2405,7.20,7.90,143.90,151.70
2410,6.60,7.30,148.70,154.30
2415,6.00,6.70,152.70,160.50
2420,5.50,6.10,157.50,164.00
2425,5.00,5.70,161.50,170.70
2430,4.60,5.20,166.50,175.60
2435,4.20,4.80,170.60,179.90
2440,3.80,4.40,175.20,184.60
2445,3.50,4.10,179.80,189.20
2450,3.20,3.80,184.90,191.80
2455,2.90,3.50,189.10,198.60
2460,2.60,3.20,193.80,203.40
2465,2.40,2.95,195.10,208.20
2470,2.15,2.75,201.20,210.70
2475,1.95,2.55,204.60,217.70
2480,1.80,2.35,210.10,220.40
2485,1.65,2.20,214.10,227.40
2490,1.50,2.05,218.40,232.20
2495,1.35,1.95,223.80,237.10
2500,1.25,1.80,230.50,239.80
2505,1.15,1.70,233.50,246.80
2510,1.05,1.60,237.90,251.70
2515,0.95,1.55,243.20,256.60
2520,0.85,1.45,248.10,261.50
2525,0.80,1.40,253.00,266.50
2530,0.75,1.30,259.90,269.20
2540,0.60,1.20,267.80,281.20
2550,0.50,1.10,277.60,291.10
2560,0.45,1.00,287.80,301.00
2570,0.70,0.95,297.40,310.90
2580,0.40,0.90,307.60,320.90
2590,0.25,0.85,317.20,330.80
2600,0.20,0.80,327.20,340.70
2610,0.15,0.75,337.10,350.70
2620,0.15,0.75,347.30,360.60
2630,0.10,0.70,357.30,370.60
